sourceText,text,level,part,translation,exampleJa,exampleEn,status,issues,notes
affect,affect,1,1,影響を及ぼす,睡眠不足は集中力に影響を及ぼすことがある。,Lack of sleep can affect your concentration.,ready,,curated_batch01
purchase,purchase,1,1,(代金を払って)購入する,,The company purchased new equipment.,ready,,matched_existing_exact
consume,consume,1,1,(資源や食料を)消費する,,Cars consume a lot of energy.,ready,,matched_existing_exact
regard,regard,1,1,(〜だと)見なす / 尊重,,Many people regard him as a great leader.,ready,,matched_existing_exact
transfer,transfer,1,1,移す / 移動させる,その病院は患者をより大きな施設へ移送した。,The hospital decided to transfer the patient to a larger facility.,ready,,curated_batch01
eliminate,eliminate,1,1,(不要なものを)排除する,,The new law could eliminate that risk.,ready,,matched_existing_exact
indicate,indicate,1,1,(事実や傾向を)示す,,Dark clouds indicate rain.,ready,,matched_existing_exact
ensure,ensure,1,1,(確実に)そうさせる,,Please check the map to ensure accuracy.,ready,,matched_existing_exact
expand,expand,1,1,(規模を)拡大する,,The company plans to expand overseas.,ready,,matched_existing_exact
construct,construct,1,1,(建物などを)建設する,,Workers constructed a temporary bridge.,ready,,matched_existing_exact
invest,invest,1,1,(資金を)投資する,,The company plans to invest in training.,ready,,matched_existing_exact
obtain,obtain,1,1,(努力して)得る,,You must obtain permission first.,ready,,matched_existing_exact
struggle,struggle,1,1,苦闘する / もがく,多くの家庭が家賃を払うのに苦労している。,Many families struggle to pay the rent.,ready,,curated_batch01
counter,counter,1,1,反対する / 対抗する,,The senator countered the proposal with a different plan.,ready,,curated_batch43
associate,associate,1,1,関連づける / 結びつける,多くの人がそのブランドを信頼性と結びつけている。,Many people associate the brand with reliability.,ready,,curated_batch01
register,register,1,1,登録する,金曜日までにオンラインで登録してください。,Please register online by Friday.,ready,,curated_batch01
species,species,1,1,種,この種はその島にしか生息していない。,This species lives only on the island.,ready,,curated_batch01
diet,diet,1,1,食事 / 食生活,医師は彼に塩分の少ない食事を勧めた。,The doctor advised him to follow a low-salt diet.,ready,,curated_batch01
facility,facility,1,1,施設,そのスポーツ施設は朝6時に開く。,The sports facility opens at six in the morning.,ready,,curated_batch01
resident,resident,1,1,住民,すべての住民に避難のお知らせが配られた。,Every resident received a notice about the evacuation.,ready,,curated_batch01
option,option,1,1,選択肢,その時点では待つしか選択肢がなかった。,"At that point, waiting was our only option.",ready,,curated_batch01
organ,organ,1,1,臓器,心臓は体にとって重要な臓器だ。,The heart is a vital organ in the body.,ready,,curated_batch01
critic,critic,1,1,批評家 / 批判者,ある批評家はその映画を今年最高だと評価した。,One critic called the film the best of the year.,ready,,curated_batch01
region,region,1,1,地域 / 地方,,Rice is grown throughout the region.,ready,,matched_existing_exact
access,access,1,1,利用する / 接続する,学生は自宅から図書館のデータベースにアクセスできる。,Students can access the library database from home.,ready,,curated_batch01
virus,virus,1,1,ウイルス,新しいウイルスが町じゅうに急速に広がった。,A new virus spread quickly through the town.,ready,,curated_batch01
evidence,evidence,1,1,証拠,その報告書には不正の明確な証拠が示されていた。,The report provided clear evidence of fraud.,ready,,curated_batch01
attempt,attempt,1,1,試み / 試みること,彼女の最初の試みは予想以上にうまくいった。,Her first attempt was more successful than expected.,ready,,curated_batch01
account,account,1,1,説明 / 報告,彼の事故の説明はとても詳しかった。,His account of the accident was very detailed.,ready,,curated_batch01
theory,theory,1,1,理論,彼女の理論は需要の急減を説明している。,Her theory explains the sudden drop in demand.,ready,,curated_batch01
factor,factor,1,1,(結果に影響する)要因,,Sleep is a key factor in health.,ready,,matched_existing_exact
chemical,chemical,1,1,化学の / 化学物質,化学廃棄物が川を汚染した。,Chemical waste polluted the river.,ready,,curated_batch01
income,income,1,1,収入 / 所得,,His income fell last year.,ready,,matched_existing_exact
shortage,shortage,1,1,不足,熱波により深刻な水不足が起きた。,The heat wave caused a serious water shortage.,ready,,curated_batch01
poverty,poverty,1,1,貧困 / 貧しさ,,Many children still live in poverty.,ready,,matched_existing_exact
criminal,criminal,1,1,犯罪者 / 犯罪の,その犯罪者は駅の近くで逮捕された。,The criminal was arrested near the station.,ready,,curated_batch01
authority,authority,1,1,権限 / 権威,予算を承認する権限は市長にある。,The authority to approve the budget belongs to the mayor.,ready,,curated_batch01
atmosphere,atmosphere,1,1,雰囲気 / 大気,その店には落ち着いた雰囲気がある。,The restaurant has a calm atmosphere.,ready,,curated_batch01
weapon,weapon,1,1,武器,警察は現場で隠されていた武器を見つけた。,The police found a hidden weapon at the scene.,ready,,curated_batch01
nutrient,nutrient,1,1,栄養素,たんぱく質は体に不可欠な栄養素だ。,Protein is an essential nutrient for the body.,ready,,curated_batch01
expense,expense,1,1,費用 / 経費,その出張費は会社の経費として処理された。,The travel expense was approved as a business cost.,ready,,curated_batch01
structure,structure,1,1,構造物 / 構造,その構造物は地震で一部損傷した。,The structure was partly damaged in the earthquake.,ready,,curated_batch01
procedure,procedure,1,1,手順 / 手続き,その手続きは10分もかからない。,The procedure takes less than ten minutes.,ready,,curated_batch01
minimum,minimum,1,1,最小の,,A minimum fee will be charged.,ready,,matched_existing_exact
resource,resource,1,1,資源 / 活用できる手段,,Time is a limited resource.,ready,,matched_existing_exact
regulation,regulation,1,1,規制 / 規則,新しい規制は6月に施行される。,The new regulation will take effect in June.,ready,,curated_batch01
contract,contract,1,1,契約,両者は昨日その契約に署名した。,Both sides signed the contract yesterday.,ready,,curated_batch01
insurance,insurance,1,1,保険,旅行保険は高額な医療費を補償してくれることがある。,Travel insurance can cover expensive medical treatment.,ready,,curated_batch01
employment,employment,1,1,雇用 / 就職,その地域では安定した雇用を見つけるのが難しい。,Stable employment is hard to find in the area.,ready,,curated_batch01
ban,ban,1,1,禁止 / 禁止すること,市は公園での喫煙禁止を導入した。,The city introduced a ban on smoking in parks.,ready,,curated_batch01
vehicle,vehicle,1,1,車両 / 乗り物,緊急車両が交差点を高速で通過した。,An emergency vehicle passed through the intersection at high speed.,ready,,curated_batch01
soil,soil,1,1,土壌 / 土,肥沃な土壌は作物の成長を助ける。,Rich soil helps crops grow well.,ready,,curated_batch01
cargo,cargo,1,1,積み荷 / 貨物,その船は夜のうちに貨物を積み込んだ。,The ship loaded its cargo during the night.,ready,,curated_batch01
aircraft,aircraft,1,1,航空機,その航空機は激しい雨の中でも安全に着陸した。,The aircraft landed safely in heavy rain.,ready,,curated_batch01
current,current,1,1,現在の / 今の,現在の計画は予算を超えている。,The current plan is over budget.,ready,,curated_batch01
political,political,1,1,政治的な,その議論はすぐに政治的なものになった。,The discussion quickly became political.,ready,,curated_batch01
significant,significant,1,1,重要な / かなり大きい,その方針変更は学生に大きな影響を与えた。,The policy change had a significant impact on students.,ready,,curated_batch01
effective,effective,1,1,効果的な / 有効な,定期的な復習は語彙を定着させる効果的な方法だ。,Regular review is an effective way to retain vocabulary.,ready,,curated_batch02
military,military,1,1,軍の / 軍事の,その島はかつて軍の基地として使われていた。,The island was once used as a military base.,ready,,curated_batch02
essential,essential,1,1,(なくてはならない)不可欠な,,Water is essential for life.,ready,,matched_existing_exact
illegal,illegal,1,1,違法な,その川に廃棄物を捨てるのは違法だ。,It is illegal to dump waste into the river.,ready,,curated_batch02
immune,immune,1,1,免疫のある / 影響を受けない,誰もストレスの影響を完全には免れない。,No one is completely immune to stress.,ready,,curated_batch02
numerous,numerous,1,1,数多くの / 多数の,,The city offers numerous cultural events.,ready,,matched_existing_exact
extreme,extreme,1,1,極端な / 非常な,その地域では夏に極端な暑さになることがある。,The area can experience extreme heat in summer.,ready,,curated_batch02
agricultural,agricultural,1,1,農業の,その地域の経済は主に農業生産に依存している。,The local economy depends largely on agricultural production.,ready,,curated_batch02
overall,overall,1,1,(全体としての)全体的な,,"Overall, the results were encouraging.",ready,,matched_existing_exact
additional,additional,1,1,追加の,詳しい分析の前に追加のデータが必要だ。,We need additional data before making a detailed analysis.,ready,,curated_batch02
entire,entire,1,1,全体の / 全部の,停電のため、建物全体が暗くなった。,The entire building went dark during the power outage.,ready,,curated_batch02
severe,severe,1,1,深刻な / 厳しい,その地域は冬に深刻な水不足に直面した。,The region faced a severe water shortage in winter.,ready,,curated_batch02
alter,alter,1,1,(部分的に)変更する,,The storm altered our travel plans.,ready,,matched_existing_exact
adopt,adopt,1,1,採用する / 取り入れる,その学校は来年、新しい評価制度を採用する予定だ。,The school plans to adopt a new evaluation system next year.,ready,,curated_batch02
determine,determine,1,1,決定する / 突き止める,検査でその水が安全かどうかがわかるだろう。,The tests will determine whether the water is safe.,ready,,curated_batch02
enable,enable,1,1,可能にする,このアプリを使えば、生徒は自宅でも発音練習ができる。,This app enables students to practice pronunciation at home.,ready,,curated_batch02
conduct,conduct,1,1,(調査などを)行う / 行動,,The team conducted a survey.,ready,,matched_existing_exact
absorb,absorb,1,1,吸収する,乾いた土は雨水をすぐに吸収した。,The dry soil quickly absorbed the rainwater.,ready,,curated_batch02
imply,imply,1,1,暗に意味する / ほのめかす,彼女の返事は、計画に賛成していないことを示唆していた。,Her reply implied that she did not support the plan.,ready,,curated_batch02
operate,operate,1,1,(機械などを)操作する,,The clinic operates 24 hours a day.,ready,,matched_existing_exact
demonstrate,demonstrate,1,1,(事実を)示す,,The experiment demonstrated the theory.,ready,,matched_existing_exact
boost,boost,1,1,押し上げる / 増加させる,そのキャンペーンは地元産品の売り上げを押し上げた。,The campaign helped boost sales of local products.,ready,,curated_batch02
monitor,monitor,1,1,(継続して)監視する,,Doctors will monitor his progress.,ready,,matched_existing_exact
defeat,defeat,1,1,打ち負かす / 敗北させる,そのチームは決勝で昨年の王者を破った。,The team defeated last year's champion in the final.,ready,,curated_batch02
protest,protest,1,1,抗議する / 抗議,住民たちはその建設計画に抗議するために集まった。,Residents gathered to protest against the construction plan.,ready,,curated_batch02
preserve,preserve,1,1,(価値あるものを)保護する,,These efforts help preserve local traditions.,ready,,matched_existing_exact
oppose,oppose,1,1,(案や人に)反対する,,Several residents oppose the plan.,ready,,matched_existing_exact
migrate,migrate,1,1,(別の土地へ)移住する,,Some birds migrate south in winter.,ready,,matched_existing_exact
analyze,analyze,1,1,(データなどを)分析する,,Researchers analyzed the survey data.,ready,,matched_existing_exact
discourage,discourage,1,1,思いとどまらせる / やる気をなくさせる,その先生は生徒が質問するのを決してためらわせなかった。,The teacher never discouraged students from asking questions.,ready,,curated_batch02
confirm,confirm,1,1,(事実を)確認する,,Please confirm your reservation by Friday.,ready,,matched_existing_exact
intend,intend,1,1,意図する / つもりである,彼女は卒業後に海外で働くつもりだ。,She intends to work abroad after graduation.,ready,,curated_batch02
predict,predict,1,1,(将来を)予測する,,No one can predict the future exactly.,ready,,matched_existing_exact
transportation,transportation,1,1,交通機関 / 輸送,この町では公共交通機関が限られている。,Public transportation is limited in this town.,ready,,curated_batch02
institution,institution,1,1,制度 / 機関,,The school is a public institution.,ready,,matched_existing_exact
theft,theft,1,1,窃盗 / 盗難,警察は自転車の盗難について調べている。,The police are investigating the theft of several bicycles.,ready,,curated_batch02
candidate,candidate,1,1,候補者,その候補者は教育改革を主要な公約にした。,The candidate made education reform a central promise.,ready,,curated_batch02
mammal,mammal,1,1,哺乳類,クジラは魚ではなく哺乳類だ。,"A whale is a mammal, not a fish.",ready,,curated_batch02
economist,economist,1,1,経済学者,その経済学者は来年の成長率を慎重に予測した。,The economist offered a cautious forecast for next year's growth.,ready,,curated_batch02
protein,protein,1,1,たんぱく質,成長期の子どもには十分なたんぱく質が必要だ。,Growing children need enough protein in their diet.,ready,,curated_batch02
immigrant,immigrant,1,1,移民,その町では多くの移民が小さな店を営んでいる。,Many immigrants run small businesses in the town.,ready,,curated_batch02
habitat,habitat,1,1,(動植物の)生息地,,This bird has lost its habitat.,ready,,matched_existing_exact
symptom,symptom,1,1,症状,高熱は感染症の初期症状の一つかもしれない。,A high fever may be an early symptom of infection.,ready,,curated_batch02
eruption,eruption,1,1,噴火,火山の噴火で近くの空港が閉鎖された。,The volcanic eruption forced the nearby airport to close.,ready,,curated_batch02
quantity,quantity,1,1,量,この実験では少量の水しか必要としない。,The experiment requires only a small quantity of water.,ready,,curated_batch02
territory,territory,1,1,領土 / 領域,その航空機は許可なく他国の領空に入った。,The aircraft entered another country's territory without permission.,ready,,curated_batch02
sufferer,sufferer,1,1,苦しむ人 / 患者,その患者は長年、重い頭痛に苦しんでいた。,The sufferer had lived with severe headaches for years.,ready,,curated_batch03
emission,emission,1,1,排出 / 排出物,新しい規制は有害ガスの排出を制限している。,The new regulation limits the emission of harmful gases.,ready,,curated_batch02
executive,executive,1,1,幹部 / 経営陣,,The executive approved the plan.,ready,,matched_existing_exact
riot,riot,1,1,暴動,試合後の暴動で数人がけがをした。,Several people were injured in the riot after the match.,ready,,curated_batch02
medication,medication,1,1,薬 / 薬物治療,その薬は食後に服用してください。,Please take the medication after meals.,ready,,curated_batch02
productivity,productivity,1,1,生産性,静かな職場は生産性の向上につながることが多い。,A quiet workplace often improves productivity.,ready,,curated_batch02
organism,organism,1,1,生物 / 生物体,その池には肉眼では見えない微小な生物がいる。,Tiny organisms live in the pond beyond the reach of the naked eye.,ready,,curated_batch02
representative,representative,1,1,代表者,各学年から一人ずつ代表者が選ばれた。,One representative was chosen from each grade.,ready,,curated_batch02
warehouse,warehouse,1,1,倉庫,火災の後、倉庫の安全点検が行われた。,The warehouse was inspected for safety after the fire.,ready,,curated_batch02
refund,refund,1,1,返金 / 払い戻し,商品に欠陥があったため、彼は返金を受けた。,He received a refund because the product was defective.,ready,,curated_batch02
tuition,tuition,1,1,授業料,その奨学金は授業料の半分をまかなう。,The scholarship covers half of the tuition.,ready,,curated_batch02
victim,victim,1,1,被害者 / 犠牲者,救助隊は地震の被害者を一晩中捜した。,Rescue teams searched all night for victims of the earthquake.,ready,,curated_batch02
dose,dose,1,1,1回分の薬 / 投与量,医師はその子どもに少量の薬を処方した。,The doctor prescribed a small dose for the child.,ready,,curated_batch03
mainland,mainland,1,1,本土,嵐のため、島と本土を結ぶ便が止まった。,The storm stopped flights between the island and the mainland.,ready,,curated_batch03
waterfall,waterfall,1,1,滝,私たちは森の奥で美しい滝を見つけた。,We found a beautiful waterfall deep in the forest.,ready,,curated_batch03
satellite,satellite,1,1,衛星,その衛星は毎日、地球の画像を送ってくる。,The satellite sends images of the Earth every day.,ready,,curated_batch03
evolution,evolution,1,1,進化,その展示は馬の進化の過程を説明している。,The exhibit explains the evolution of horses.,ready,,curated_batch03
prey,prey,1,1,獲物,その鳥は高い空から地上の獲物を探した。,The bird searched for prey from high in the sky.,ready,,curated_batch03
bystander,bystander,1,1,見物人 / 居合わせた人,居合わせた人の一人がすぐに救急車を呼んだ。,One bystander called an ambulance right away.,ready,,curated_batch03
creature,creature,1,1,生き物 / 動物,その湖には奇妙な生き物がすんでいるという話がある。,There is a story about a strange creature living in the lake.,ready,,curated_batch03
civilization,civilization,1,1,文明,その博物館では古代文明の道具が展示されている。,The museum displays tools from an ancient civilization.,ready,,curated_batch03
tribe,tribe,1,1,部族,その地域には独自の言語を持つ部族が暮らしている。,A tribe with its own language lives in the region.,ready,,curated_batch03
permission,permission,1,1,許可,写真を使う前に、先生の許可を得てください。,Please get the teacher's permission before using the photo.,ready,,curated_batch03
barrier,barrier,1,1,障壁 / 妨げ,,Cost is a major barrier.,ready,,matched_existing_exact
wage,wage,1,1,賃金,その会社は最低賃金を上回る給料を払っている。,The company pays wages above the minimum standard.,ready,,curated_batch03
drone,drone,1,1,ドローン,調査チームはドローンで被害の範囲を確認した。,The survey team used a drone to check the area of damage.,ready,,curated_batch03
appearance,appearance,1,1,外見 / 見た目,その建物は古いが、外見はよく手入れされている。,"The building is old, but its appearance is well maintained.",ready,,curated_batch03
embassy,embassy,1,1,大使館,彼女はビザの相談のために大使館を訪れた。,She visited the embassy to ask about her visa.,ready,,curated_batch03
skeleton,skeleton,1,1,骨格 / 骨組み,博物館には巨大な恐竜の骨格が展示されていた。,The museum displayed the skeleton of a giant dinosaur.,ready,,curated_batch03
wildlife,wildlife,1,1,野生生物,その国立公園は豊かな野生生物で知られている。,The national park is known for its rich wildlife.,ready,,curated_batch03
potential,potential,1,1,(将来の)可能性を持つ,,The area has great potential for growth.,ready,,matched_existing_exact
limited,limited,1,1,限られた,座席数が限られているので、早めの予約が必要だ。,"Seats are limited, so early booking is necessary.",ready,,curated_batch03
rural,rural,1,1,(都市でなく)地方の,,She grew up in a rural area.,ready,,matched_existing_exact
advanced,advanced,1,1,高度な / 進んだ,その病院は高度な医療機器を備えている。,The hospital is equipped with advanced medical devices.,ready,,curated_batch03
beneficial,beneficial,1,1,(役に立って)有益な,,Regular exercise is beneficial to mental health.,ready,,matched_existing_exact
genetic,genetic,1,1,遺伝の / 遺伝子的な,その病気には遺伝的な要因が関係していることがある。,The disease can involve genetic factors.,ready,,curated_batch03
radical,radical,1,1,急進的な / 抜本的な,その市長は交通問題に対して抜本的な改革を提案した。,The mayor proposed a radical reform for the traffic problem.,ready,,curated_batch03
hostile,hostile,1,1,(相手に敵意を示す)敵対的な,,The audience was openly hostile.,ready,,matched_existing_exact
long-term,long-term,1,1,長期的な,その会社は短期の利益より長期的な成長を重視している。,The company values long-term growth over short-term profit.,ready,,curated_batch03
Arctic,Arctic,1,1,北極の / 北極地方,研究者たちは北極の氷の変化を観測している。,Researchers are observing changes in Arctic ice.,ready,,curated_batch03
risky,risky,1,1,危険な / リスクのある,十分な準備なしで登山するのは危険だ。,Climbing the mountain without enough preparation is risky.,ready,,curated_batch03
competitive,competitive,1,1,競争の激しい / 競争力のある,その業界で生き残るには競争力のある価格が必要だ。,A competitive price is necessary to survive in the industry.,ready,,curated_batch03
affordable,affordable,1,1,(価格が)手ごろな,,The city needs more affordable housing.,ready,,matched_existing_exact
