sourceText,text,level,translation,exampleJa,exampleEn,status,issues,notes
picture,picture,1,絵、写真,,,ready,,curated_batch03_translation
computer,computer,1,コンピューター,,,ready,,curated_batch01
magazine,magazine,1,雑誌,,,ready,,curated_batch01
letter,letter,1,手紙,,,ready,,curated_batch03_translation
lunchtime,lunchtime,1,昼食の時間,,,ready,,matched_existing_exact
homework,homework,1,宿題,,,ready,,matched_existing_exact
test,test,1,テスト,,,ready,,matched_existing_exact
classmate,classmate,1,クラスメート,,,ready,,curated_batch01
lesson,lesson,1,レッスン,,,ready,,matched_existing_exact
subject,subject,1,教科,,,ready,,matched_existing_exact
science,science,1,科学,,,ready,,matched_existing_exact
history,history,1,歴史,,,ready,,matched_existing_exact
speech,speech,1,スピーチ、発表,,,ready,,curated_batch03_translation
report,report,1,レポート、報告,,,ready,,curated_batch03_translation
textbook,textbook,1,教科書,,,ready,,curated_batch01
notebook,notebook,1,ノート,,,ready,,curated_batch01
cafeteria,cafeteria,1,食堂,,,ready,,matched_existing_exact
library,library,1,図書館,,,ready,,matched_existing_exact
gym,gym,1,体育館,,,ready,,curated_batch01
college,college,1,大学（college）,,,ready,,matched_existing_exact
university,university,1,総合大学,,,ready,,matched_existing_exact
course,course,1,講座、コース,,,ready,,curated_batch03_translation
contest,contest,1,コンテスト,,,ready,,matched_existing_exact
group,group,1,グループ,,,ready,,matched_existing_exact
member,member,1,メンバー,,,ready,,matched_existing_exact
restaurant,restaurant,1,レストラン,,,ready,,matched_existing_exact
bookstore,bookstore,1,本屋,,,ready,,curated_batch01
museum,museum,1,博物館,,,ready,,matched_existing_exact
station,station,1,駅,,,ready,,matched_existing_exact
airport,airport,1,空港,,,ready,,matched_existing_exact
bike,bike,1,自転車,,,ready,,curated_batch01
hospital,hospital,1,病院,,,ready,,matched_existing_exact
hotel,hotel,1,ホテル,,,ready,,matched_existing_exact
apartment,apartment,1,アパート,,,ready,,curated_batch01
garden,garden,1,庭,,,ready,,curated_batch01
town,town,1,町,,,ready,,curated_batch01
building,building,1,建物,,,ready,,curated_batch01
company,company,1,会社,,,ready,,matched_existing_exact
office,office,1,事務所,,,ready,,curated_batch01
party,party,1,パーティー,,,ready,,curated_batch01
shopping,shopping,1,買い物,,,ready,,matched_existing_exact
present,present,1,贈り物、プレゼント,,,ready,,curated_batch03_translation
weekend,weekend,1,週末,,,ready,,curated_batch01
holiday,holiday,1,休日,,,ready,,curated_batch01
program,program,1,番組,,,ready,,matched_existing_exact
picnic,picnic,1,ピクニック,,,ready,,curated_batch01
fishing,fishing,1,釣り,,,ready,,matched_existing_exact
hobby,hobby,1,趣味,,,ready,,matched_existing_exact
fever,fever,1,熱,,,ready,,matched_existing_exact
dentist,dentist,1,歯医者,,,ready,,curated_batch01
scientist,scientist,1,科学者,,,ready,,curated_batch01
pilot,pilot,1,パイロット,,,ready,,curated_batch01
actor,actor,1,俳優,,,ready,,matched_existing_exact
volunteer,volunteer,1,ボランティア,,,ready,,matched_existing_exact
grandmother,grandmother,1,祖母,,,ready,,curated_batch01
grandfather,grandfather,1,祖父,,,ready,,curated_batch01
husband,husband,1,夫,,,ready,,matched_existing_exact
aunt,aunt,1,おば,,,ready,,curated_batch01
vegetable,vegetable,1,野菜,,,ready,,curated_batch01
toast,toast,1,トースト,,,ready,,matched_existing_exact
hamburger,hamburger,1,ハンバーガー,,,ready,,curated_batch01
pancake,pancake,1,パンケーキ,,,ready,,matched_existing_exact
chocolate,chocolate,1,チョコレート,,,ready,,curated_batch01
popcorn,popcorn,1,ポップコーン,,,ready,,matched_existing_exact
beach,beach,1,浜辺,,,ready,,curated_batch01
mountain,mountain,1,山,,,ready,,curated_batch01
rose,rose,1,バラ,,,ready,,curated_batch01
practice,practice,1,練習、練習すること,,,ready,,curated_batch03_translation
violin,violin,1,バイオリン,,,ready,,curated_batch01
concert,concert,1,コンサート,,,ready,,curated_batch01
musical,musical,1,ミュージカル,,,ready,,matched_existing_exact
purple,purple,1,紫色の,,,ready,,curated_batch01
Spain,Spain,1,スペイン,,,ready,,matched_existing_exact
England,England,1,イングランド,,,ready,,matched_existing_exact
Africa,Africa,1,アフリカ,,,ready,,matched_existing_exact
India,India,1,インド,,,ready,,matched_existing_exact
basketball,basketball,1,バスケットボール,,,ready,,curated_batch01
volleyball,volleyball,1,バレーボール,,,ready,,curated_batch01
badminton,badminton,1,バドミントン,,,ready,,curated_batch01
jogging,jogging,1,ジョギング,,,ready,,matched_existing_exact
e-mail,e-mail,1,電子メール,,,ready,,matched_existing_exact
information,information,1,情報,,,ready,,matched_existing_exact
future,future,1,未来,,,ready,,matched_existing_exact
cell phone,cell phone,2,携帯電話,,,ready,,curated_batch01
event,event,1,行事,,,ready,,matched_existing_exact
culture,culture,1,文化,,,ready,,matched_existing_exact
center,center,1,中心,,,ready,,matched_existing_exact
meeting,meeting,1,会議,,,ready,,matched_existing_exact
sale,sale,1,セール,,,ready,,matched_existing_exact
race,race,1,競争,,,ready,,matched_existing_exact
example,example,1,例,,,ready,,matched_existing_exact
postcard,postcard,1,はがき,,,ready,,curated_batch01
poster,poster,1,ポスター,,,ready,,matched_existing_exact
robot,robot,1,ロボット,,,ready,,matched_existing_exact
bring,bring,1,持ってくる,,,ready,,matched_existing_exact
forget,forget,1,忘れる,,,ready,,matched_existing_exact
swim,swim,1,泳ぐ,,,ready,,matched_existing_exact
paint,paint,1,絵を描く,,,ready,,matched_existing_exact
arrive,arrive,1,着く,,,ready,,matched_existing_exact
wear,wear,1,身につけている,,,ready,,matched_existing_exact
change,change,1,変える,,,ready,,matched_existing_exact
become,become,1,になる,,,ready,,matched_existing_exact
catch,catch,1,つかまえる,,,ready,,matched_existing_exact
order,order,1,注文する,,,ready,,matched_existing_exact
break,break,1,壊す,,,ready,,matched_existing_exact
fall,fall,1,秋,,,ready,,curated_batch03_translation
turn,turn,1,曲がる,,,ready,,matched_existing_exact
first,first,1,最初の,,,ready,,curated_batch01
favorite,favorite,1,いちばん好きな、お気に入りの,,,ready,,curated_batch03_translation
lucky,lucky,1,運のよい,,,ready,,curated_batch01
sunny,sunny,1,晴れた,,,ready,,curated_batch01
cloudy,cloudy,1,くもった,,,ready,,curated_batch01
snowy,snowy,1,雪の降る,,,ready,,curated_batch01
